Province/State,Country/Region,Last update,confirmed,death,recovered,Lat,Long
,Paraguay,03/27/2020,52,3,7,-23.4425,-58.4438
,Peru,03/27/2020,635,11,43,-9.19,-75.0152
,Philippines,03/27/2020,803,54,43,13,122
,Poland,03/27/2020,1389,16,115,51.9194,19.1451
,Portugal,03/27/2020,4268,76,45,39.3999,-8.2245
,Qatar,03/27/2020,562,0,0,25.3548,51.1839
,Romania,03/27/2020,1292,26,0,45.9432,24.9668
,Russia,03/27/2020,1036,4,1,60,90
,Rwanda,03/27/2020,54,0,0,-1.9403,29.8739
,Saint Lucia,03/27/2020,3,0,4,13.9094,-60.9789
,Saint Vincent and the Grenadines,03/27/2020,1,0,35,12.9843,-61.2872
,San Marino,03/27/2020,223,21,11,43.9424,12.4578
,Saudi Arabia,03/27/2020,1104,3,0,24,45
,Senegal,03/27/2020,119,0,0,14.4974,-14.4524
,Serbia,03/27/2020,457,1,183,44.0165,21.0059
,Seychelles,03/27/2020,7,0,2,-4.6796,55.492
,Singapore,03/27/2020,732,2,10,1.2833,103.8333
,Slovakia,03/27/2020,269,0,0,48.669,19.699
,Slovenia,03/27/2020,632,9,31,46.1512,14.9955
,Somalia,03/27/2020,3,0,9357,5.1521,46.1996
,South Africa,03/27/2020,1170,1,7,-30.5595,22.9375
,Spain,03/27/2020,65719,5138,0,40,-4
,Sri Lanka,03/27/2020,106,0,0,7,81
,Sudan,03/27/2020,3,1,16,12.8628,30.2176
,Suriname,03/27/2020,8,0,1530,3.9193,-56.0278
,Sweden,03/27/2020,3069,105,0,63,16
,Switzerland,03/27/2020,12928,231,29,46.8182,8.2275
,Taiwan*,03/27/2020,267,2,1,23.7,121
,Tanzania,03/27/2020,13,0,97,-6.369,34.8888
,Thailand,03/27/2020,1136,5,0,15,101
,Togo,03/27/2020,25,1,1,8.6195,0.8248
,Trinidad and Tobago,03/27/2020,66,2,1,10.6918,-61.2225
,Tunisia,03/27/2020,227,6,2,34,9
,Turkey,03/27/2020,5698,92,42,38.9637,35.2433
,Uganda,03/27/2020,23,0,0,1,32
,Ukraine,03/27/2020,310,5,5,48.3794,31.1656
,United Arab Emirates,03/27/2020,405,2,52,24,54
Bermuda,United Kingdom,03/27/2020,17,0,2,32.3078,-64.7505
Cayman Islands,United Kingdom,03/27/2020,8,1,0,19.3133,-81.2546
Channel Islands,United Kingdom,03/27/2020,88,1,0,49.3723,-2.3644
Gibraltar,United Kingdom,03/27/2020,55,0,14,36.1408,-5.3536
Isle of Man,United Kingdom,03/27/2020,29,0,0,54.2361,-4.5481
Montserrat,United Kingdom,03/27/2020,5,0,0,16.7425,-62.1874
,United Kingdom,03/27/2020,14543,759,135,55.3781,-3.436
,Uruguay,03/27/2020,238,0,0,-32.5228,-55.7658
,US,03/27/2020,101657,1581,869,37.0902,-95.7129
,Uzbekistan,03/27/2020,88,1,5,41.3775,64.5853
,Venezuela,03/27/2020,107,1,31,6.4238,-66.5897
,Vietnam,03/27/2020,163,0,20,16,108
,Zambia,03/27/2020,22,0,0,-15.4167,28.2833
,Zimbabwe,03/27/2020,5,1,0,-20,30
Diamond Princess,Canada,03/27/2020,0,1,17,0,0
,Dominica,03/27/2020,11,0,0,15.415,-61.371
,Grenada,03/27/2020,7,0,1,12.1165,-61.679
,Mozambique,03/27/2020,7,0,0,-18.665695,35.529562
,Syria,03/27/2020,5,0,,34.802075,38.996815
,Timor-Leste,03/27/2020,1,0,,-8.874217,125.727539
,Belize,03/27/2020,2,0,,13.1939,-59.5432
Recovered,Canada,03/27/2020,0,0,,0,0
,Laos,03/27/2020,6,0,,19.85627,102.495496
,Libya,03/27/2020,1,0,,26.3351,17.228331
,West Bank and Gaza,03/27/2020,91,1,,31.9522,35.2332
,Guinea-Bissau,03/27/2020,2,0,,11.8037,-15.1804
,Mali,03/27/2020,11,0,,17.570692,-3.996166
,Saint Kitts and Nevis,03/27/2020,2,0,,17.357822,-62.782998
Northwest Territories,Canada,03/27/2020,1,0,,64.8255,-124.8457
Yukon,Canada,03/27/2020,3,0,,64.2823,-135
,Kosovo,03/27/2020,86,1,,42.602636,20.902977
,Burma,03/27/2020,8,0,,21.9162,95.956
