Province/State,Country/Region,last_update,confirmed,deaths,recovered,Lat,Long
British Virgin Islands,United Kingdom,04/08/2020,3,0,,18.4207,-64.64
Turks and Caicos Islands,United Kingdom,04/08/2020,8,1,,21.694,-71.7979
,MS Zaandam,04/08/2020,9,2,,0,0
,Botswana,04/08/2020,6,1,,-22.3285,24.6849
,Burundi,04/08/2020,3,0,,-3.3731,29.9189
,Sierra Leone,04/08/2020,7,0,,8.460555,-11.779889
"Bonaire, Sint Eustatius and Saba",Netherlands,04/08/2020,2,0,,12.1784,-68.2385
,Malawi,04/08/2020,8,1,,-13.254308,34.301525
Falkland Islands (Malvinas),United Kingdom,04/08/2020,5,0,,-51.7963,-59.5236
Saint Pierre and Miquelon,France,04/08/2020,1,0,,46.8852,-56.3159
,South Sudan,04/08/2020,2,0,,6.877,31.307
,Western Sahara,04/08/2020,4,0,,24.2155,-12.8858
,Sao Tome and Principe,04/08/2020,4,0,,0.18636,6.613081
