Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Montana,US,03/23/2020,31,0,0,46.9219,-110.4544
New Mexico,US,03/23/2020,57,0,0,34.8405,-106.2485
North Dakota,US,03/23/2020,28,0,0,47.5289,-99.784
South Dakota,US,03/23/2020,21,1,0,44.2998,-99.4388
West Virginia,US,03/23/2020,12,0,0,38.4912,-80.9545
Wyoming,US,03/23/2020,24,0,0,42.756,-107.3025
Hubei,China,03/23/2020,67800,3153,59879,30.9756,112.2707
,Iran,03/23/2020,21638,1685,7931,32,53
,"Korea, South",03/23/2020,8897,104,2909,36,128
France,France,03/23/2020,16018,674,2200,46.2276,2.2137
Guangdong,China,03/23/2020,1413,8,1332,23.3417,113.4244
Henan,China,03/23/2020,1274,22,1250,33.882,113.614
Zhejiang,China,03/23/2020,1238,1,1221,29.1832,120.0934
Hunan,China,03/23/2020,1018,4,1014,27.6104,111.7088
Anhui,China,03/23/2020,990,6,984,31.8257,117.2264
Jiangxi,China,03/23/2020,936,1,934,27.614,115.7221
Shandong,China,03/23/2020,767,7,751,36.3427,118.1498
Diamond Princess,Cruise Ship,03/23/2020,712,8,325,35.4437,139.638
Jiangsu,China,03/23/2020,633,0,631,32.9711,119.455
Chongqing,China,03/23/2020,577,6,570,30.0572,107.874
Sichuan,China,03/23/2020,543,3,536,30.6171,102.7103
Heilongjiang,China,03/23/2020,484,13,465,47.862,127.7615
Denmark,Denmark,03/23/2020,1395,13,1,56.2639,9.5018
Beijing,China,03/23/2020,522,8,400,40.1824,116.4142
Shanghai,China,03/23/2020,404,4,329,31.202,121.4491
Hebei,China,03/23/2020,319,6,310,39.549,116.1306
Fujian,China,03/23/2020,313,1,295,26.0789,117.9874
Guangxi,China,03/23/2020,254,2,250,23.8298,108.7881
Shaanxi,China,03/23/2020,248,3,239,35.1917,108.8701
Yunnan,China,03/23/2020,176,2,172,24.974,101.487
Hainan,China,03/23/2020,168,6,161,19.1959,109.7453
Guizhou,China,03/23/2020,146,2,144,26.8154,106.8748
Tianjin,China,03/23/2020,141,3,133,39.3054,117.323
Shanxi,China,03/23/2020,133,0,133,37.5777,112.2922
