Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
Yukon,Canada,04/17/2020,8,0,0,64.2823,-135
,Kosovo,04/17/2020,480,12,0,42.602636,20.902977
,Burma,04/17/2020,88,4,0,21.9162,95.956
Anguilla,United Kingdom,04/17/2020,3,0,0,18.2206,-63.0686
British Virgin Islands,United Kingdom,04/17/2020,4,0,,18.4207,-64.64
Turks and Caicos Islands,United Kingdom,04/17/2020,11,1,,21.694,-71.7979
,MS Zaandam,04/17/2020,9,2,,0,0
,Botswana,04/17/2020,15,1,,-22.3285,24.6849
,Burundi,04/17/2020,5,1,,-3.3731,29.9189
,Sierra Leone,04/17/2020,26,0,,8.460555,-11.779889
"Bonaire, Sint Eustatius and Saba",Netherlands,04/17/2020,3,0,,12.1784,-68.2385
,Malawi,04/17/2020,17,2,,-13.254308,34.301525
Falkland Islands (Malvinas),United Kingdom,04/17/2020,11,0,,-51.7963,-59.5236
Saint Pierre and Miquelon,France,04/17/2020,1,0,,46.8852,-56.3159
,South Sudan,04/17/2020,4,0,,6.877,31.307
,Western Sahara,04/17/2020,6,0,,24.2155,-12.8858
,Sao Tome and Principe,04/17/2020,4,0,,0.18636,6.613081
,Yemen,04/17/2020,1,0,,15.552727,48.516388
